source,target,weight
BERU,C-3PO,2
BERU,LEIA,1
BERU,LUKE,3
BERU,OWEN,3
BERU,R2-D2,1
BIGGS,C-3PO,1
BIGGS,CAMIE,2
BIGGS,GOLD LEADER,1
BIGGS,LEIA,1
BIGGS,LUKE,4
BIGGS,R2-D2,1
BIGGS,RED LEADER,3
BIGGS,WEDGE,2
C-3PO,CHEWBACCA,4
C-3PO,HAN,6
C-3PO,LEIA,6
C-3PO,LUKE,18
C-3PO,OBI-WAN,6
C-3PO,OWEN,2
C-3PO,R2-D2,17
C-3PO,RED LEADER,1
CAMIE,LUKE,2
CHEWBACCA,HAN,19
CHEWBACCA,LEIA,8
CHEWBACCA,LUKE,14
CHEWBACCA,OBI-WAN,4
CHEWBACCA,R2-D2,3
DARTH VADER,LEIA,1
DARTH VADER,MOTTI,1
DARTH VADER,OBI-WAN,1
DARTH VADER,TARKIN,7
DODONNA,GOLD LEADER,1
DODONNA,LUKE,1
DODONNA,WEDGE,1
GOLD LEADER,LUKE,1
GOLD LEADER,RED LEADER,1
GOLD LEADER,WEDGE,1
GREEDO,HAN,1
HAN,JABBA,1
HAN,LEIA,13
HAN,LUKE,26
HAN,OBI-WAN,9
HAN,R2-D2,6
LEIA,LUKE,17
LEIA,MOTTI,1
LEIA,OBI-WAN,1
LEIA,R2-D2,5
LEIA,RED LEADER,1
LEIA,TARKIN,1
LUKE,OBI-WAN,19
LUKE,OWEN,3
LUKE,R2-D2,14
LUKE,RED LEADER,3
LUKE,RED TEN,1
LUKE,WEDGE,2
MOTTI,TARKIN,2
OBI-WAN,R2-D2,4
OWEN,R2-D2,1
RED LEADER,RED TEN,1
RED LEADER,WEDGE,3
